n,x,y
1,410051,4604806
2,408993,4603544
3,410126,4602742
4,408249,4601825
5,409373,4600722
6,410283,4600358
7,411821,4601943
8,411935,4605642
9,412641,4606013
10,413394,4603600
11,414376,4600355
12,413129,4598915
13,414524,4598638
14,408607,4598032
15,410463,4598152
16,409823,4596661
17,410935,4596548
18,408644,4595521
19,409378,4593363
20,411629,4592277
21,409390,4590129
22,410960,4588080
23,411885,4585699
24,412246,4584236
25,411691,4598033
26,411629,4596947
27,412397,4597091
28,412234,4596259
29,412644,4598030
30,413551,4597453
31,413461,4596950
32,413461,4596299
33,414372,4597691
34,414952,4597663
35,414353,4596960
36,414934,4596975
37,414344,4596277
38,414922,4596285
39,415761,4598442
40,415471,4597589
41,415844,4597575
42,415460,4596961
43,415850,4596949
44,415446,4596407
45,415839,4596394
46,415430,4595807
47,415826,4595797
48,416173,4597654
49,416266,4596996
50,416501,4597109
51,416760,4597223
52,416350,4596476
53,416925,4596274
54,416300,4596111
55,416171,4595637
56,417157,4595651
57,412223,4595505
58,413391,4595551
59,412330,4594692
60,413162,4594567
61,412499,4593754
62,414039,4595398
63,414375,4595701
64,414901,4595686
65,414360,4595282
66,414886,4595150
67,413883,4594716
68,414344,4594726
69,414872,4594590
70,413777,4593830
71,414790,4593759
72,415304,4595163
73,415789,4595117
74,416251,4595226
75,415398,4594574
76,415793,4594562
77,416157,4594497
78,416626,4594651
79,415877,4593838
80,412582,4592973
81,413842,4593143
82,414636,4593168
83,413718,4592920
84,414613,4592738
85,413778,4591854
86,412146,4591378
87,412672,4591221
88,413361,4591038
89,415426,4593082
90,415223,4592634
91,414770,4591830
92,414384,4591210
93,413961,4590844
94,411992,4590408
95,412526,4590153
96,413027,4589940
97,413705,4590214
98,411952,4589313
99,412434,4589365
100,413048,4588988
101,413598,4588889
102,411933,4588423
103,412448,4588415
104,413066,4588347
105,411915,4587585
106,412469,4587488
107,413277,4587856
108,413692,4587334
109,412069,4586391
110,412516,4586538
111,413148,4586536
112,413646,4586386
113,412565,4585668
114,413209,4585666
115,413745,4585632
116,412609,4584800
117,413192,4584776
118,413707,4584622
119,412699,4584041
120,413156,4584271
121,413864,4583799
122,413144,4582953
123,413884,4582897
124,413231,4581282
125,414005,4581534
126,413070,4579319
127,414055,4580087
128,413592,4578358
129,413225,4578243
130,412531,4580763
131,411291,4579368
132,412464,4579253
133,410420,4577479
134,412321,4577786
135,411817,4577154
136,406502.15248,4594097.27002
137,408563.41999,4599989.93724
138,410152.09644,4605744.6622
139,411915.58211,4606415.75279
140,417421.72103,4594715.09279
141,400872,4570258
142,403455,4563700
143,408610,4575359
144,410580,4575780
145,411323,4575440
146,410113,4574014
147,411569,4573798
148,409912,4572556
149,411677,4572522
150,412828,4575753
151,413178,4574189
152,413305,4572557
153,405178,4573206
154,406889,4573216
155,405231,4569626
156,406681,4571063
157,406660,4568783
158,408419,4573290
159,408082,4571308
160,409912,4571624
161,411575,4571400
162,413227,4570831
163,410292,4571024
164,411571,4570423
165,412741,4569787
166,408326,4568792
167,410070,4569015
168,408063,4567087
169,410482,4567214
170,409902,4570431
171,411529,4569262
172,412839,4568775
173,413302,4567247
174,416575.64415,4577637.24478
175,416148.988,4576894.03731
176,415347,4576124
177,414409,4574716
178,415539,4574489
179,416472,4574117
180,417709,4577634
181,417565,4577096
182,418995,4576697
183,417415,4575708
184,418819.58319,4575302.89059
185,417352,4573744
186,418414,4573785
187,420103.21432,4575232.813
188,421100,4575496
189,419485,4574158
190,420284,4574042
191,419734,4573473
192,421179,4573807
193,414606,4572138
194,415643,4572243
195,416204,4572387
196,417510,4572477
197,416927,4570940
198,417844,4571424
199,418292,4570372
200,417570,4569547
201,419319,4572623
202,420047,4572543
203,420908,4572599
204,419262,4571683
205,420107,4571624
206,420720,4571730
207,419289,4570665
208,420157,4570714
209,419185,4569362
210,419888,4569399
211,415154,4570458
212,414566,4569834
213,414938,4568094
214,416212,4570213
215,416082,4568380
216,416125,4567127
217,417617,4568080
218,417564,4566824
219,418322,4568058
220,419275,4568401
221,419364,4567637
222,420298,4568830
223,420624,4569292
224,420289,4567571
225,420868,4568029
226,419118,4566928
227,419617,4566597
228,420303,4566935
229,420831,4566828
230,421285,4567406
231,421557,4566284
232,406766,4565538
233,407934,4565590
234,408776,4565470
235,410004,4565917
236,410009,4564939
237,411407,4565959
238,411653,4564931
239,406731,4563932
240,408332,4564173
241,409991,4564153
242,411619,4564039
243,412963,4565951
244,414585,4565157
245,413201,4564854
246,413228,4564055
247,414709,4564123
248,413239,4563289
249,413004,4562145
250,407973,4562935
251,408781,4562913
252,409981,4563269
253,410001,4562562
254,411670,4563289
255,411606,4562523
256,407925,4561262
257,408794,4561303
258,410214,4561137
259,411548,4561740
260,414501,4562941
261,414988,4562308
262,415823,4563175
263,416296,4562300
264,415285,4561080
265,406719,4561697
266,403388,4559414
267,404982,4559421
268,406828.33276,4559531.58927
269,403243,4557420
270,404929,4557572
271,406757.40921,4557238.39458
272,407907,4559638
273,408736,4559662
274,408522,4557909
275,408380,4556884
276,409927,4559700
277,411546.25852,4560871.7672
278,411187.01439,4559980.04058
279,413302,4561213
280,412057,4559554
281,413685,4560780
282,413383,4560020
283,412724,4559209
284,413483,4559194
285,414221,4559271
286,409669,4558307
287,410377,4558009
288,411115,4558159
289,409489,4556869
290,410293,4556803
291,411934,4558420
292,411996,4557675
293,412784,4558463
294,413783,4558461
295,414240.22389,4558484.94175
296,413085,4557648
297,413857,4557657
298,411093,4556820
299,411965,4556805
300,412548,4556786
301,413010,4556868
302,413583,4556892
303,416352,4565579
304,415494,4565100
305,415502,4564363
306,417487,4565960
307,418372,4566551
308,418335,4565805
309,418955,4565991
310,419353,4565914
311,419892,4565978
312,420445,4565798
313,415935,4564149
314,416880,4564419
315,416469,4563381
316,417392,4564451
317,417332,4563080
318,417744,4564906
319,418326,4565184
320,417823,4564455
321,418088,4564679
322,418307,4564675
323,418548,4564674
324,418802.87155,4564656.7337
325,418088,4564184
326,418297,4564183
327,418537,4564173
328,418784,4564171
329,418074,4563764
330,418281,4563725
331,418519,4563708
332,418758,4563711
333,418050,4563256
334,418286,4563252
335,418515,4563247
336,418750,4563240
337,419159,4565135
338,419223,4564613
339,419222,4564155
340,419214,4563692
341,420133,4565061
342,420088,4564594
343,420071,4564131
344,420055,4563670
345,421295,4565306
346,421311,4564854
347,421760,4564612
348,420992,4564104
349,421800,4564083
350,417738,4562924
351,418131,4562764
352,418504,4562781
353,418723,4562779
354,419198,4563223
355,420042,4563205
356,419196,4562759
357,420027,4562737
358,420127,4562311
359,420982,4563635
360,421763,4563622
361,420937,4563011
362,421763,4563034
363,417292,4561853
364,417270,4560774
365,418094,4562102
366,418607,4562075
367,417670,4561503
368,418143,4561486
369,418484,4561567
370,419211,4562284
371,419121,4561577
372,419606,4561820
373,420099,4561658
374,420789,4562261
375,421652,4562163
376,420836,4561573
377,418288,4560741
378,418884,4560944
379,418897,4560592
380,419442,4560701
381,419861,4560750
382,420196,4560576
383,420708,4560466
384,420775,4559416
385,421636,4560183
386,416015,4560134
387,416689,4560346
388,415733,4559235
389,417478,4559907
390,418093,4560085
391,418172,4559831
392,417389,4559123
393,418201,4559330
394,419008,4559845
395,418808,4558905
396,419686,4559341
397,420062,4559530
398,420187,4558815
399,414512,4556986
