link_id,a,b,aadt,length,speed,ftype,lanes,capacity
53_11455,53,11455,531.1,0.1619,14.30528,5,1,551.25
3402_3656,3402,3656,2379.7,0.32579,16.98752,2,2,1858
3402_7097,3402,7097,2577,0.46172,16.98752,2,2,1858
3402_9695,3402,9695,2974.8,0.33554,16.98752,2,1,968
3403_3440,3403,3440,5311,0.06277,13.4112,3,1,849.3
3403_3449,3403,3449,5275.4,0.03902,13.4112,3,1,849.3
3404_3405,3404,3405,666.9,0.3635,11.62304,5,1,525
3404_6857,3404,6857,3565.7,0.28786,16.98752,2,2,1858
3404_7097,3404,7097,3153.2,0.49772,16.98752,2,2,1858
3404_9694,3404,9694,818.8,0.35033,11.62304,5,1,525
3405_3404,3405,3404,466.9,0.3635,11.62304,5,1,525
3405_5497,3405,5497,842.8,0.31569,11.62304,5,1,525
3406_10920,3406,10920,5311,0.03392,13.4112,3,1,849.3
3406_10921,3406,10921,5275.4,0.03723,13.4112,3,1,849.3
3407_3408,3407,3408,2560,0.26346,15.19936,4,1,748
3407_6857,3407,6857,4010.8,0.22298,16.98752,2,2,1858
3407_8979,3407,8979,4806.1,0.15213,16.98752,2,2,1858
3408_3407,3408,3407,2257.2,0.26346,15.19936,4,1,748
3408_5499,3408,5499,1628.5,0.41385,15.19936,4,1,748
3409_4530,3409,4530,20423.30078,0.14945,17.836896,2,2,2230
3410_3418,3410,3418,17643.19922,0.23363,24.5872,31,2,2946
3410_9477,3410,9477,4668.8,0.24208,24.5872,31,2,2946
3411_3414,3411,3414,8434,0.07457,14.30528,2,2,1765.1
3411_8979,3411,8979,6100.5,0.08714,14.30528,2,2,1765.1
3411_10027,3411,10027,11145.2,0.25026,10.28192,41,2,1800
3412_4034,3412,4034,14011.5,0.38458,13.4112,3,2,1630.2
3412_4564,3412,4564,22855.30078,0.17329,13.4112,3,2,1630.2
3413_10189,3413,10189,7623.3,0.17217,24.5872,31,1,1473
3414_3411,3414,3411,14046.4,0.07457,14.30528,2,2,1765.1
3414_5770,3414,5770,17182.59961,0.13422,14.30528,2,2,1765.1
3414_10022,3414,10022,6480.6,0.24973,10.28192,41,1,1200
3415_3559,3415,3559,8039.2,0.18021,14.30528,2,2,1765.1
3415_3591,3415,3591,8857.8,0.25228,14.30528,2,2,1765.1
3415_5770,3415,5770,17614.5,0.06403,14.30528,2,2,1765.1
3415_9693,3415,9693,8079.5,0.1771,14.30528,2,2,1765.1
3416_3602,3416,3602,3921.3,0.14732,11.62304,42,2,1888
3416_9326,3416,9326,22052.30078,0.28677,33.528,33,2,3460
3417_3441,3417,3441,4762.2,0.34623,14.30528,2,1,919.6
3417_3570,3417,3570,8311.3,0.14106,13.4112,3,2,1630.2
3417_3575,3417,3575,5146.4,0.35484,13.4112,3,1,849.3
3417_9693,3417,9693,7934,0.16653,14.30528,2,2,1765.1
3418_3847,3418,3847,24287.69922,0.141,24.5872,31,2,2946
3419_3421,3419,3421,3141.5,0.35046,12.51712,4,1,710.6
3419_5510,3419,5510,3128.7,0.29827,12.51712,4,1,710.6
3420_8662,3420,8662,2538.2,0.24508,11.62304,42,1,983
3420_9182,3420,9182,20666.5,0.09016,24.5872,31,2,2946
3421_3419,3421,3419,3197.1,0.35046,12.51712,4,1,710.6
3421_3442,3421,3442,2675.1,0.22247,12.51712,4,1,710.6
3421_3570,3421,3570,8137.9,0.11931,13.4112,3,2,1630.2
3421_10885,3421,10885,6674.9,0.22556,13.4112,3,2,1630.2
3422_3512,3422,3512,7643.8,0.0923,15.6464,3,2,1716
3422_10833,3422,10833,13379.7,0.12802,15.6464,3,2,1716
3423_3579,3423,3579,8231.1,0.35419,13.4112,3,1,849.3
3423_3580,3423,3580,2318.2,0.3865,12.51712,4,1,710.6
3423_4094,3423,4094,4437.1,0.10563,13.4112,3,2,1630.2
3423_10885,3423,10885,6577.7,0.20944,13.4112,3,2,1630.2
3424_3529,3424,3529,5721,0.52568,15.6464,3,2,1716
3424_4124,3424,4124,17965.59961,0.48845,15.6464,3,2,1716
3425_5519,3425,5519,3475.3,0.09196,12.51712,4,1,710.6
3425_11860,3425,11860,2056.2,0.10863,12.51712,4,1,710.6
3426_7101,3426,7101,4466.4,0.4244,16.98752,2,1,968
3426_9695,3426,9695,3593.8,0.31566,16.98752,2,1,968
3426_9699,3426,9699,1657.2,0.10626,15.19936,4,1,748
3427_3438,3427,3438,116.1,0.46417,15.19936,4,2,1422
3427_4124,3427,4124,794.6,0.34362,15.19936,4,2,1422
3428_3447,3428,3447,14707.2,0.21236,22.530815999999998,2,3,3363
3429_9657,3429,9657,4034.3,0.38604,15.6464,3,1,894
3429_10802,3429,10802,6847.1,0.14574,15.6464,3,1,894
3430_3439,3430,3439,7285.9,0.10062,15.6464,3,2,1716
3430_8662,3430,8662,7034.1,0.17613,15.6464,3,2,1716
3431_3455,3431,3455,369.8,0.34348,11.62304,5,1,525
3431_3552,3431,3552,2368.8,0.34984,15.19936,4,1,748
3431_6841,3431,6841,3093.6,0.44607,15.19936,4,1,748
3431_9694,3431,9694,860.3,0.30094,11.62304,5,1,525
3432_7014,3432,7014,4589.1,0.28201,24.5872,31,1,1473
3433_5013,3433,5013,2012,0.0509,24.5872,31,1,1473
3433_10193,3433,10193,22687.80078,0.38709,24.5872,31,2,2946
3434_3458,3434,3458,5189.8,0.38882,15.19936,4,1,748
3434_3551,3434,3551,1642.7,0.37763,12.51712,4,1,710.6
3434_3552,3434,3552,2978.6,0.16317,15.19936,4,1,748
3434_3589,3434,3589,2860.5,0.22894,12.51712,4,1,710.6
3435_3436,3435,3436,2477.8,0.20272,12.51712,4,1,710.6
3435_3473,3435,3473,4867.2,0.21924,14.30528,2,2,1765.1
3435_3591,3435,3591,6283.3,0.40453,14.30528,2,2,1765.1
3435_9697,3435,9697,10006.7,0.12101,12.51712,4,1,710.6
3436_3435,3436,3435,2546.5,0.20272,12.51712,4,1,710.6
3436_3437,3436,3437,3580.9,0.13733,12.51712,4,1,710.6
3436_3482,3436,3482,4765,0.26374,14.30528,2,1,919.6
3436_8981,3436,8981,3123.8,0.26269,14.30528,2,1,919.6
3437_3436,3437,3436,3721.3,0.13733,12.51712,4,1,710.6
3437_3442,3437,3442,2580.8,0.51217,12.51712,4,1,710.6
3437_3443,3437,3443,2749.6,0.3455,12.51712,4,1,710.6
3437_3594,3437,3594,1979.3,0.28842,12.51712,4,1,710.6
3437_8982,3437,8982,2519.3,0.22626,12.51712,4,1,710.6
3438_3427,3438,3427,401.8,0.46417,15.19936,4,2,1422
3438_3446,3438,3446,189.1,0.54497,15.19936,4,2,1422
3439_3430,3439,3430,7034.1,0.10062,15.6464,3,2,1716
3439_3642,3439,3642,1.1,0.05371,10.28192,5,1,498.75
3439_5639,3439,5639,7285.5,0.04929,15.6464,3,1,894
3440_3403,3440,3403,5275.4,0.06277,13.4112,3,1,849.3
3440_5639,3440,5639,4538.2,0.11371,15.6464,3,1,894
3440_10925,3440,10925,3857.5,0.2454,15.6464,3,1,894
3441_3417,3441,3417,4739,0.34623,14.30528,2,1,919.6
3441_8981,3441,8981,6132.1,0.07786,14.30528,2,1,919.6
3442_3421,3442,3421,2654.7,0.22247,12.51712,4,1,710.6
3442_3437,3442,3437,2614.1,0.51217,12.51712,4,1,710.6
3443_3437,3443,3437,2747.1,0.3455,12.51712,4,1,710.6
3443_3444,3443,3444,1639.3,0.21251,12.51712,4,1,710.6
3444_3443,3444,3443,1631.2,0.21251,12.51712,4,1,710.6
3444_3445,3444,3445,4985.6,0.25436,13.4112,3,2,1630.2
3444_3595,3444,3595,5201.3,0.25585,13.4112,3,2,1630.2
3445_3444,3445,3444,5107.7,0.25436,13.4112,3,2,1630.2
3445_4094,3445,4094,4165.4,0.31802,13.4112,3,2,1630.2
3446_3438,3446,3438,473.3,0.54497,15.19936,4,2,1422
3446_3529,3446,3529,1408.1,0.34365,15.6464,3,2,1716
3446_5304,3446,5304,1708.1,0.53751,15.19936,4,1,748
3446_8001,3446,8001,0,0.17463,15.6464,3,1,894
3447_3514,3447,3514,14707.2,0.39465,12.472415999999999,2,3,3204
3448_9027,3448,9027,6369.4,0.0366,15.19936,4,1,748
3448_9028,3448,9028,6388.5,0.05137,15.19936,4,1,748
3449_3403,3449,3403,5311,0.03902,13.4112,3,1,849.3
3449_10919,3449,10919,5275.4,0.04148,13.4112,3,1,849.3
3450_3622,3450,3622,1163.2,0.13586,16.98752,4,1,785.4
3450_7208,3450,7208,1895.8,0.20025,16.98752,4,1,785.4
3450_7213,3450,7213,10528.2,0.10104,23.69312,13,2,2042
3451_3603,3451,3603,287.1,1.20622,15.19936,4,1,748
3451_4091,3451,4091,1276.1,0.29204,15.6464,3,1,894
3451_11872,3451,11872,1356.8,0.07997,15.19936,4,1,748
3452_6843,3452,6843,9804.2,0.6512,16.98752,2,2,1858
3452_7101,3452,7101,7336.2,0.47535,16.98752,2,1,968
3452_9700,3452,9700,4691,0.14292,15.6464,3,1,894
3453_3454,3453,3454,7298.5,0.29775,13.4112,3,1,849.3
3453_9700,3453,9700,7825.6,0.50235,13.4112,3,1,849.3
3454_3453,3454,3453,7687.4,0.29775,13.4112,3,1,849.3
3454_3455,3454,3455,395.1,0.55758,11.62304,5,1,525
3454_3483,3454,3483,2354.5,0.47043,10.28192,5,1,498.75
3454_7818,3454,7818,8533.3,0.19327,15.6464,3,1,894
3455_3431,3455,3431,402.7,0.34348,11.62304,5,1,525
3455_3454,3455,3454,356.3,0.55758,11.62304,5,1,525
3456_3457,3456,3457,13835.8,0.03228,14.30528,2,2,1765.1
3456_4438,3456,4438,8964.2,0.0573,15.6464,3,1,894
3456_9043,3456,9043,3949.9,0.02882,12.51712,4,1,710.6
3457_3456,3457,3456,12201.1,0.03228,14.30528,2,2,1765.1
3457_3461,3457,3461,11482.8,0.07078,14.30528,2,2,1765.1
3457_10033,3457,10033,14645.4,0.24845,10.28192,41,1,1200
3458_3434,3458,3434,3173.1,0.38882,15.19936,4,1,748
3458_3971,3458,3971,6015.3,0.38125,15.19936,4,1,748
3459_3460,3459,3460,3962.1,0.04997,10.28192,5,1,498.75
3459_3670,3459,3670,3863.4,0.17214,10.28192,5,1,498.75
3460_3459,3460,3459,3863.4,0.04997,10.28192,5,1,498.75
3460_3855,3460,3855,989.7,0.05184,10.28192,5,1,498.75
3460_5181,3460,5181,2972.2,0.4781,10.28192,5,1,498.75
3461_3457,3461,3457,17172.09961,0.07078,14.30528,2,2,1765.1
3461_3462,3461,3462,19579,0.02659,14.30528,2,2,1765.1
3461_10028,3461,10028,7937.2,0.24753,10.28192,41,1,1200
